name	logo	services
LinkedIn	linked.svg	Business Strategy
AANC	aanc.png	Design, Technology
DoorDash	doordash-logo.png	Business Strategy
GALLA Beauty	galla.jpeg	Business Strategy
Mountain Dew	mountain_dew_logo.svg.png	Business Strategy, Design
Wheel & Tire Connection	wtc.jpeg	Business Strategy, Technology
XP League	xp.jpg	Business Strategy
Maryland STEM Festival	maryland.jpg	Marketing
Network of Care	noc.png	Marketing, Design, Technology
Captis Intelligence	captis.jpeg	Marketing, Design, Technology
